"filename", "language", "JSON with Comments", "XML", "Markdown", "TypeScript", "JSON", "Prisma", "JavaScript", "Skill", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"d:\porto-project\academic-tracker\.agents\skills\prisma-composer-core-concepts\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 416, 0, 0, 0, 72, 488
"d:\porto-project\academic-tracker\.agents\skills\prisma-platform-core-concepts\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 289, 0, 0, 0, 67, 356
"d:\porto-project\academic-tracker\.claude\skills\prisma-composer-core-concepts\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 416, 0, 0, 0, 72, 488
"d:\porto-project\academic-tracker\.claude\skills\prisma-platform-core-concepts\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 289, 0, 0, 0, 67, 356
"d:\porto-project\academic-tracker\.cursor\skills\prisma-composer-core-concepts\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 416, 0, 0, 0, 72, 488
"d:\porto-project\academic-tracker\.cursor\skills\prisma-platform-core-concepts\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 289, 0, 0, 0, 67, 356
"d:\porto-project\academic-tracker\.devin\skills\prisma-composer-core-concepts\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 416, 0, 0, 0, 72, 488
"d:\porto-project\academic-tracker\.devin\skills\prisma-platform-core-concepts\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 289, 0, 0, 0, 67, 356
"d:\porto-project\academic-tracker\AGENTS.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5, 10
"d:\porto-project\academic-tracker\CLAUDE.md", "Markdown", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\porto-project\academic-tracker\README.md", "Markdown", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 14, 37
"d:\porto-project\academic-tracker\app\api\checklists\[id]\route.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 3, 25
"d:\porto-project\academic-tracker\app\api\notifications\route.ts", "TypeScript", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 2, 8, 63
"d:\porto-project\academic-tracker\app\api\tasks\[id]\route.ts", "TypeScript", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 34
"d:\porto-project\academic-tracker\app\api\tasks\focus.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\porto-project\academic-tracker\app\api\tasks\focus\route.ts", "TypeScript", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 6, 53
"d:\porto-project\academic-tracker\app\api\tasks\route.ts", "TypeScript", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 2, 8, 89
"d:\porto-project\academic-tracker\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 27
"d:\porto-project\academic-tracker\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 5, 30
"d:\porto-project\academic-tracker\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 258, 0, 15, 26, 299
"d:\porto-project\academic-tracker\components\ChecklistInputList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 4, 65
"d:\porto-project\academic-tracker\components\ChecklistItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 2, 4, 52
"d:\porto-project\academic-tracker\components\TaskCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 4, 44
"d:\porto-project\academic-tracker\components\TaskForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 407, 0, 16, 31, 454
"d:\porto-project\academic-tracker\components\TaskList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 21
"d:\porto-project\academic-tracker\components\dashboard\FocusNowCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 226, 0, 12, 14, 252
"d:\porto-project\academic-tracker\components\dashboard\StatsOverview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 161, 0, 7, 16, 184
"d:\porto-project\academic-tracker\components\dashboard\TomorrowChecklist.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 3, 45
"d:\porto-project\academic-tracker\components\dashboard\WorkloadChart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 224, 0, 12, 21, 257
"d:\porto-project\academic-tracker\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 2, 3, 19
"d:\porto-project\academic-tracker\hooks\useTasks.ts", "TypeScript", 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 2, 8, 81
"d:\porto-project\academic-tracker\lib\dashboard.ts", "TypeScript", 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 2, 15, 94
